
/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/license/view.js
  1:246  warning  Unnecessary semicolon  no-extra-semi

/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/simulation/css/pnn1.js
  22:2  error  Parsing error: Unexpected token }

/home/runner/work/exp-probabilistic-neural-networks-iitkgp/exp-probabilistic-neural-networks-iitkgp/experiment/simulation/js/canvasjs.min.js
   13:3    warning  'c' is already defined                                                     no-redeclare
   14:282  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
   19:55   warning  'G_vmlCanvasManager' is not defined                                        no-undef
   19:340  warning  'h' is already defined                                                     no-redeclare
   19:378  warning  'k' is already defined                                                     no-redeclare
   20:120  warning  Read-only global 'event' should not be modified                            no-global-assign
   23:218  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
   23:371  warning  'c' is already defined                                                     no-redeclare
   23:470  warning  'f' is already defined                                                     no-redeclare
   42:480  warning  'this.label' is assigned to itself                                         no-self-assign
   68:433  warning  'h' is already defined                                                     no-redeclare
   68:480  warning  'k' is already defined                                                     no-redeclare
   70:165  warning  'h' is already defined                                                     no-redeclare
   81:76   warning  'b' is already defined                                                     no-redeclare
   81:125  warning  'f' is already defined                                                     no-redeclare
   82:1    warning  'c' is already defined                                                     no-redeclare
   82:19   warning  'm' is already defined                                                     no-redeclare
   82:23   warning  'b' is already defined                                                     no-redeclare
   82:62   warning  'k' is already defined                                                     no-redeclare
   84:497  warning  Empty block statement                                                      no-empty
   85:131  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   85:342  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   85:400  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   86:144  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   86:202  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   86:390  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   87:59   warning  'chart' is not defined                                                     no-undef
   87:82   warning  'chart' is not defined                                                     no-undef
   87:195  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   87:253  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   88:5    warning  'chart' is not defined                                                     no-undef
   88:28   warning  'chart' is not defined                                                     no-undef
   88:101  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
   90:195  warning  'chart' is not defined                                                     no-undef
   90:218  warning  'chart' is not defined                                                     no-undef
  103:555  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  125:289  warning  'd' is already defined                                                     no-redeclare
  131:79   warning  Duplicate key 'cursor'                                                     no-dupe-keys
  144:316  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  145:34   warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  156:353  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  157:118  warning  'd' is defined but never used                                              no-unused-vars
  157:120  warning  'b' is defined but never used                                              no-unused-vars
  159:313  warning  Empty block statement                                                      no-empty
  163:234  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  164:197  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  166:411  warning  'g' is already defined                                                     no-redeclare
  166:415  warning  'f' is already defined                                                     no-redeclare
  169:500  warning  'f' is already defined                                                     no-redeclare
  172:15   warning  'c' is already defined                                                     no-redeclare
  174:276  warning  'h' is already defined                                                     no-redeclare
  174:283  warning  'p' is already defined                                                     no-redeclare
  174:368  warning  'e' is already defined                                                     no-redeclare
  174:372  warning  'p' is already defined                                                     no-redeclare
  178:5    warning  'k' is already defined                                                     no-redeclare
  178:57   warning  'l' is already defined                                                     no-redeclare
  178:217  warning  'h' is already defined                                                     no-redeclare
  178:328  warning  'f' is already defined                                                     no-redeclare
  178:379  warning  'g' is already defined                                                     no-redeclare
  179:199  warning  'c' is already defined                                                     no-redeclare
  181:52   warning  'w' is already defined                                                     no-redeclare
  181:104  warning  'y' is already defined                                                     no-redeclare
  181:220  warning  'r' is already defined                                                     no-redeclare
  188:348  warning  'c' is already defined                                                     no-redeclare
  189:43   warning  'm' is already defined                                                     no-redeclare
  189:274  warning  'e' is already defined                                                     no-redeclare
  189:424  warning  's' is already defined                                                     no-redeclare
  192:133  warning  'f' is already defined                                                     no-redeclare
  193:432  warning  'c' is already defined                                                     no-redeclare
  194:139  warning  'm' is already defined                                                     no-redeclare
  194:370  warning  'e' is already defined                                                     no-redeclare
  195:4    warning  's' is already defined                                                     no-redeclare
  200:333  warning  'f' is already defined                                                     no-redeclare
  201:43   warning  'n' is already defined                                                     no-redeclare
  201:274  warning  'r' is already defined                                                     no-redeclare
  203:377  warning  'g' is already defined                                                     no-redeclare
  208:104  warning  'f' is already defined                                                     no-redeclare
  210:207  warning  'm' is already defined                                                     no-redeclare
  210:312  warning  'f' is already defined                                                     no-redeclare
  213:365  warning  'k' is already defined                                                     no-redeclare
  216:105  warning  'c' is already defined                                                     no-redeclare
  219:28   warning  'k' is already defined                                                     no-redeclare
  221:104  warning  'k' is already defined                                                     no-redeclare
  224:207  warning  'f' is already defined                                                     no-redeclare
  226:232  warning  'm' is already defined                                                     no-redeclare
  229:362  warning  'k' is already defined                                                     no-redeclare
  232:105  warning  'c' is already defined                                                     no-redeclare
  235:4    warning  'k' is already defined                                                     no-redeclare
  237:252  warning  'c' is already defined                                                     no-redeclare
  241:298  warning  'h' is already defined                                                     no-redeclare
  241:406  warning  'h' is already defined                                                     no-redeclare
  242:244  warning  'A' is already defined                                                     no-redeclare
  249:184  warning  'h' is already defined                                                     no-redeclare
  249:292  warning  'h' is already defined                                                     no-redeclare
  250:127  warning  'z' is already defined                                                     no-redeclare
  252:153  warning  'k' is already defined                                                     no-redeclare
  255:112  warning  'h' is already defined                                                     no-redeclare
  255:220  warning  'h' is already defined                                                     no-redeclare
